 [*] Building advantage function...
 [*] Building policy function...
 [*] Building natural gradient...
 [*] Building summaries...
 [*] Model built finished
 [*] Reading checkpoints...
 [*] Failed to find a checkpoint
Global-step 45 --Accept update with alpha=1.0, kl=6.517231643243804e-09, old=-1.7694011926651, new=-1.7694032192230225
Global-step 46 --Accept update with alpha=1.0, kl=1.5443248069235693e-10, old=-1.7862155437469482, new=-1.7862168550491333
Global-step 49 --Accept update with alpha=1.0, kl=6.18916029537786e-10, old=-0.3004518151283264, new=-0.3004522919654846
Global-step 50 --Accept update with alpha=1.0, kl=1.7922834771866292e-08, old=0.35470062494277954, new=0.3546966016292572
Global-step 50 --Accept update with alpha=1.0, kl=7.2778600923584236e-09, old=0.35470062494277954, new=0.35468852519989014
Global-step 51 --Accept update with alpha=1.0, kl=5.039715347265883e-07, old=-4.332431793212891, new=-4.33296537399292
Global-step 51 --Accept update with alpha=1.0, kl=2.0724880300804216e-07, old=-4.332431793212891, new=-4.33277702331543
Global-step 51 --Accept update with alpha=1.0, kl=1.0060171007353347e-07, old=-4.332431793212891, new=-4.332829475402832
Global-step 51 --Accept update with alpha=1.0, kl=3.129185301986581e-07, old=-4.332431793212891, new=-4.33274507522583
Global-step 51 --Accept update with alpha=1.0, kl=6.561079999301e-07, old=-4.332431793212891, new=-4.332743167877197
Global-step 52 --Accept update with alpha=1.0, kl=1.498004920108542e-08, old=-4.034560203552246, new=-4.0345845222473145
Global-step 54 --Accept update with alpha=1.0, kl=3.7730149560211146e-10, old=2.227813959121704, new=2.227809190750122
Global-step 54 --Accept update with alpha=0.015625, kl=6.614349503221775e-14, old=2.227813959121704, new=2.227813720703125
Global-step 54 --Accept update with alpha=1.0, kl=2.667940313116901e-09, old=2.227813959121704, new=2.227802276611328
Global-step 54 --Accept update with alpha=0.00390625, kl=6.251253922601348e-15, old=2.227813959121704, new=2.227813720703125
Global-step 54 --Accept update with alpha=1.0, kl=1.2870113863527877e-09, old=2.227813959121704, new=2.227806806564331
Global-step 54 --Accept update with alpha=1.0, kl=1.7583487998962255e-09, old=2.227813959121704, new=2.2278051376342773
Global-step 54 --Accept update with alpha=1.0, kl=3.2430259866433886e-11, old=2.227813959121704, new=2.227813720703125
Global-step 54 --Accept update with alpha=1.0, kl=6.124031282084275e-10, old=2.227813959121704, new=2.2278082370758057
Global-step 54 --Accept update with alpha=0.015625, kl=2.8176484583031236e-13, old=2.227813959121704, new=2.227813720703125
Global-step 58 --Accept update with alpha=1.0, kl=3.9799924467232017e-10, old=0.7024462819099426, new=0.7024431228637695
Global-step 61 --Accept update with alpha=1.0, kl=3.6244170859012215e-11, old=0.1089961901307106, new=0.10899587720632553
Global-step 65 --Accept update with alpha=1.0, kl=4.873422199125343e-07, old=0.1823962926864624, new=0.18165597319602966
Global-step 65 --Accept update with alpha=1.0, kl=1.258488158129012e-08, old=0.1823962926864624, new=0.1823139190673828
Global-step 66 --Accept update with alpha=1.0, kl=2.0561754965342516e-08, old=-3.0395214557647705, new=-3.039541244506836
Global-step 67 --Accept update with alpha=0.00390625, kl=6.760005288831625e-14, old=-2.8099334239959717, new=-2.809933662414551
Global-step 67 --Accept update with alpha=1.0, kl=1.010369388154686e-08, old=-2.8099334239959717, new=-2.8099398612976074
Global-step 67 --Accept update with alpha=0.0078125, kl=3.2366180590694127e-13, old=-2.8099334239959717, new=-2.809933662414551
Global-step 67 --Accept update with alpha=1.0, kl=2.435164425662606e-08, old=-2.8099334239959717, new=-2.809980869293213
Global-step 70 --Accept update with alpha=1.0, kl=3.504540546650503e-10, old=0.32415613532066345, new=0.3241550922393799
Global-step 70 --Accept update with alpha=0.015625, kl=4.648209849791515e-14, old=0.32415613532066345, new=0.32415610551834106
Global-step 72 --Accept update with alpha=0.00390625, kl=1.0380340657130047e-13, old=1.336897373199463, new=1.3368972539901733
Global-step 72 --Accept update with alpha=0.015625, kl=7.824988487031836e-13, old=1.336897373199463, new=1.3368972539901733
Global-step 72 --Accept update with alpha=0.0078125, kl=3.1122420179191534e-12, old=1.336897373199463, new=1.3368972539901733
Global-step 72 --Accept update with alpha=1.0, kl=5.6644708479325345e-08, old=1.336897373199463, new=1.3368656635284424
Global-step 72 --Accept update with alpha=0.03125, kl=1.5314922940934395e-11, old=1.336897373199463, new=1.3368972539901733
Global-step 72 --Accept update with alpha=0.001953125, kl=9.731189514134223e-14, old=1.336897373199463, new=1.3368972539901733
Global-step 72 --Accept update with alpha=1.0, kl=1.4603459774775729e-08, old=1.336897373199463, new=1.3368782997131348
Global-step 72 --Accept update with alpha=1.0, kl=2.1156632001861908e-08, old=1.336897373199463, new=1.3368908166885376
Global-step 72 --Accept update with alpha=0.001953125, kl=1.2239914756653064e-13, old=1.336897373199463, new=1.3368972539901733
Global-step 72 --Accept update with alpha=1.0, kl=2.014358679858219e-09, old=1.336897373199463, new=1.3368934392929077
Global-step 74 --Accept update with alpha=1.0, kl=2.3606489776284434e-06, old=0.8583258390426636, new=0.8551697731018066
Global-step 74 --Accept update with alpha=1.0, kl=8.160145625879522e-07, old=0.8583258390426636, new=0.8565908670425415
Global-step 75 --Accept update with alpha=1.0, kl=1.8203193619115154e-08, old=1.8611708879470825, new=1.8611457347869873
Global-step 75 --Accept update with alpha=1.0, kl=1.7428611887027046e-09, old=1.8611708879470825, new=1.8611681461334229
Global-step 78 --Accept update with alpha=1.0, kl=3.5207678439341805e-10, old=1.035568356513977, new=1.0355658531188965
Global-step 78 --Accept update with alpha=1.0, kl=1.4444370699528974e-10, old=1.035568356513977, new=1.0355654954910278
Global-step 82 --Accept update with alpha=1.0, kl=7.502579535412224e-08, old=1.8856067657470703, new=1.8855512142181396
Global-step 82 --Accept update with alpha=1.0, kl=4.305045919750228e-08, old=1.8856067657470703, new=1.88554847240448
Global-step 84 --Accept update with alpha=0.03125, kl=2.6784572620280368e-14, old=0.20100870728492737, new=0.20100869238376617
Global-step 85 --Accept update with alpha=1.0, kl=2.0650781432096643e-12, old=-0.02419753186404705, new=-0.024197585880756378
Global-step 85 --Accept update with alpha=1.0, kl=9.206265090544452e-12, old=-0.02419753186404705, new=-0.024197686463594437
Global-step 85 --Accept update with alpha=1.0, kl=3.827797800948218e-11, old=-0.02419753186404705, new=-0.02419755421578884
